Variable	Value
unarmedFrames	12
unarmedActionFrame	7
unarmedShieldFrames	12
unarmedShieldActionFrame	7
swordFrames	16
swordActionFrame	12
swordShieldFrames	16
swordShieldActionFrame	12
bowFrames	20
bowActionFrame	14
axeFrames	23
axeActionFrame	14
maceFrames	16
maceActionFrame	12
maceShieldFrames	16
maceShieldActionFrame	12
staffFrames	13
staffActionFrame	8
idleFrames	8
walkingFrames	8
blockingFrames	3
deathFrames	20
castingFrames	18
recoveryFrames	6
townIdleFrames	20
townWalkingFrames	8
castingActionFrame	13
